Timestamp,Temperature,Pressure,Approx. Altitude,Humidity
2024-03-30 15:35:13,32.41,944.65hPa,587.51m,28.91%
2024-03-30 15:35:14,32.41,944.64hPa,587.60m,28.91%
2024-03-30 15:35:15,32.40,944.59hPa,588.01m,28.89%
2024-03-30 15:35:16,32.40,944.58hPa,588.07m,28.89%
2024-03-30 15:35:18,32.40,944.60hPa,587.88m,28.89%
2024-03-30 15:35:19,32.40,944.61hPa,587.81m,28.92%
2024-03-30 15:35:20,32.39,944.60hPa,587.90m,28.88%
2024-03-30 15:35:21,32.40,944.61hPa,587.79m,28.87%
2024-03-30 15:35:22,32.40,944.59hPa,588.04m,28.83%
2024-03-30 15:35:23,32.40,944.61hPa,587.81m,28.84%
2024-03-30 15:35:24,32.39,944.59hPa,588.01m,28.85%
2024-03-30 15:35:25,32.39,944.60hPa,587.87m,28.88%
2024-03-30 15:35:26,32.39,944.59hPa,587.98m,28.91%
2024-03-30 15:35:27,32.40,944.62hPa,587.76m,28.91%
2024-03-30 15:35:28,32.39,944.61hPa,587.85m,28.91%
2024-03-30 15:35:29,32.39,944.59hPa,588.01m,28.85%
2024-03-30 15:35:30,32.39,944.56hPa,588.24m,28.86%
2024-03-30 15:35:31,32.39,944.57hPa,588.16m,28.86%
2024-03-30 15:35:32,32.38,944.57hPa,588.21m,28.87%
2024-03-30 15:35:33,32.39,944.57hPa,588.16m,28.86%
2024-03-30 15:35:34,32.39,944.61hPa,587.84m,28.84%
2024-03-30 15:35:35,32.38,944.60hPa,587.95m,28.84%
2024-03-30 15:35:36,32.38,944.60hPa,587.93m,28.86%
2024-03-30 15:35:37,32.38,944.58hPa,588.07m,28.85%
2024-03-30 15:35:38,32.38,944.61hPa,587.78m,28.81%
2024-03-30 15:35:39,32.38,944.63hPa,587.65m,28.87%
2024-03-30 15:35:40,32.38,944.61hPa,587.86m,28.92%
2024-03-30 15:35:41,32.38,944.61hPa,587.84m,28.92%
2024-03-30 15:35:42,32.38,944.56hPa,588.24m,28.94%
2024-03-30 15:35:43,32.38,944.61hPa,587.78m,28.91%
2024-03-30 15:35:44,32.38,944.60hPa,587.90m,28.91%
2024-03-30 15:35:45,32.38,944.58hPa,588.07m,28.88%
